model,features,n_feats,f1_macro,accuracy
gradient_boosting,jaccard_sim + dice_sim + ner_jaccard + ner_jaccard_person + semantic_sim,5,0.43472222222222223,0.5263157894736842
random_forest,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard + ner_jaccard_org,5,0.43472222222222223,0.5263157894736842
logistic_regression,tfidf_cos + jaccard_sim + ner_jaccard,3,0.4342105263157895,0.5789473684210527
logistic_regression,tfidf_cos + ner_jaccard + semantic_sim,3,0.4342105263157895,0.5789473684210527
logistic_regression,tfidf_cos + ner_jaccard,2,0.4342105263157895,0.5789473684210527
logistic_regression,tfidf_cos + jaccard_sim + ner_jaccard + semantic_sim,4,0.4342105263157895,0.5789473684210527
naive_bayes,ner_jaccard + ner_jaccard_org,2,0.4342105263157895,0.5789473684210527
logistic_regression,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard,4,0.4342105263157895,0.5789473684210527
svm,tfidf_cos + dice_sim + ner_jaccard + ner_jaccard_org,4,0.43286647992530347,0.5263157894736842
naive_bayes,tfidf_cos + dice_sim + ner_jaccard + ner_jaccard_org,4,0.43174603174603177,0.5263157894736842
gradient_boosting,jaccard_sim + dice_sim + ner_jaccard + ner_jaccard_person + ner_jaccard_org,5,0.43174603174603177,0.5263157894736842
gradient_boosting,dice_sim + ner_jaccard_person + ner_jaccard_org + semantic_sim,4,0.430952380952381,0.5263157894736842
random_forest,ner_jaccard + ner_jaccard_person + semantic_sim,3,0.4303571428571429,0.5263157894736842
logistic_regression,tfidf_cos + jaccard_sim + ner_jaccard_person + semantic_sim,4,0.43004385964912284,0.5263157894736842
logistic_regression,tfidf_cos + jaccard_sim + ner_jaccard_person,3,0.43004385964912284,0.5263157894736842
random_forest,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard + ner_jaccard_person,5,0.4297619047619048,0.5263157894736842
random_forest,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard + semantic_sim,5,0.4297619047619048,0.5263157894736842
random_forest,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard,4,0.4297619047619048,0.5263157894736842
random_forest,jaccard_sim + dice_sim + ner_jaccard_person + ner_jaccard_org,4,0.4297619047619048,0.5263157894736842
random_forest,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard_org,4,0.4297619047619048,0.5263157894736842
gradient_boosting,jaccard_sim + dice_sim + ner_jaccard + ner_jaccard_org,4,0.4297619047619048,0.5263157894736842
logistic_regression,dice_sim + ner_jaccard_org + semantic_sim,3,0.42976190476190473,0.5263157894736842
naive_bayes,tfidf_cos + dice_sim + semantic_sim,3,0.42963286713286714,0.5263157894736842
naive_bayes,jaccard_sim + ner_jaccard + ner_jaccard_person + ner_jaccard_org,4,0.4283730158730159,0.5263157894736842
random_forest,jaccard_sim + dice_sim + ner_jaccard_person + semantic_sim,4,0.42777777777777776,0.5263157894736842
random_forest,ner_jaccard + ner_jaccard_person,2,0.42647058823529416,0.5263157894736842
gradient_boosting,tfidf_cos,1,0.4253968253968254,0.5263157894736842
naive_bayes,dice_sim,1,0.4253968253968254,0.5263157894736842
random_forest,ner_jaccard + semantic_sim,2,0.42500000000000004,0.5263157894736842
random_forest,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard + ner_jaccard_person + ner_jaccard_org,6,0.42410714285714285,0.5263157894736842
random_forest,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard + ner_jaccard_person + semantic_sim,6,0.42410714285714285,0.5263157894736842
logistic_regression,tfidf_cos + jaccard_sim + ner_jaccard + ner_jaccard_person + semantic_sim,5,0.42314425770308123,0.5263157894736842
logistic_regression,tfidf_cos + jaccard_sim + ner_jaccard + ner_jaccard_person,4,0.42314425770308123,0.5263157894736842
random_forest,tfidf_cos + ner_jaccard_org,2,0.4231442577030812,0.5263157894736842
gradient_boosting,tfidf_cos + dice_sim + ner_jaccard_person,3,0.4222402597402597,0.47368421052631576
naive_bayes,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard_person,4,0.42083333333333334,0.5263157894736842
random_forest,dice_sim + ner_jaccard_org,2,0.42083333333333334,0.5263157894736842
random_forest,jaccard_sim + ner_jaccard_person + ner_jaccard_org + semantic_sim,4,0.42063492063492064,0.5263157894736842
logistic_regression,tfidf_cos + jaccard_sim + ner_jaccard + ner_jaccard_person + ner_jaccard_org,5,0.4206349206349206,0.5263157894736842
logistic_regression,tfidf_cos + ner_jaccard + ner_jaccard_person + ner_jaccard_org + semantic_sim,5,0.4206349206349206,0.5263157894736842
logistic_regression,tfidf_cos + jaccard_sim + ner_jaccard + ner_jaccard_person + ner_jaccard_org + semantic_sim,6,0.4206349206349206,0.5263157894736842
